481  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.example.integration.purchaseOrder.PurchaseOrderIntegrationTest], using SpringBootContextLoader
498  [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [org.example.integration.purchaseOrder.PurchaseOrderIntegrationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
1031 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
6850 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
9841 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
9841 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
9851 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
9918 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 77 ms
9982 [main] INFO  o.e.i.p.PurchaseOrderIntegrationTest - Started PurchaseOrderIntegrationTest in 8.812 seconds (JVM running for 11.446)
11630 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
11630 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
11631 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
11801 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:1683}] to localhost:27017
12198 [main] INFO  o.e.p.c.PurchaseOrderController - [GET request] -> get purchase order by UUID: 18bbf208-712b-41df-bf23-c66f8e066a18
12506 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
12507 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
12508 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
12517 [main] INFO  o.e.p.c.PurchaseOrderController - [DELETE request] -> remove purchase order identified by 0e45989b-95ac-415f-8699-6feea6995bdb
12559 [main] INFO  o.e.p.c.PurchaseOrderController - [DELETE request] -> remove purchase order identified by 0e45989b-95ac-415f-8699-6feea6995bdb
12564 [main] INFO  org.example.GlobalControllerAdvice - [ClientError] -> class org.example.customexceptions.ResourceNotFoundException:Could not find order identified by 0e45989b-95ac-415f-8699-6feea6995bdb
12585 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
12585 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
12586 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
12659 [main] INFO  o.e.p.c.PurchaseOrderController - [PUT request] -> update purchase order identified by 58044d16-b095-43ac-acb8-a942e04a4bd3. New status: CREATED
12694 [main] INFO  o.e.p.c.PurchaseOrderController - [PUT request] -> update purchase order identified by 58044d16-b095-43ac-acb8-a942e04a4bd3. New status: CREATED
12716 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
12716 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
12717 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
12733 [main] ERROR org.example.GlobalControllerAdvice - [ServerError] -> class org.springframework.web.multipart.support.MissingServletRequestPartException: Required request part 'order' is not present
471  [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.example.integration.purchaseOrder.PurchaseOrderIntegrationTest], using SpringBootContextLoader
